Zoning Authority,Project Status,Developer Name,Project Type,Project Name ,Project End Date,Escrow Agent Name ,No:of buildings,Project Status,Project Start Date,Master Project,No:of Units,No:of Villas,Area Name ,Percent Completed
Dubai Development Authority,FINISHED,TECOM Investments Free Zone LLC,buildings,Celia Residence,14-09-2024,Emirates NBD Bank (P.S.C.),1,success,15-09-2022,Dubai Studio City,111,0,Al Hebiah Second,100
Licenses,ACTIVE,Nakheel Company (P.S.C.),villas,Jebel Ali Townhouses Village - Phase 3,31-12-2025,Mashreq Bank (Public Joint Stock Company),0,effective,29-09-2022,Jabal Ali Village,0,0,Jabal Ali First,79
Dubai Development Authority,FINISHED,Front Line Investment Management LLC,villas,Damac Hills (2) - Baswood,21-03-2022,Abu Dhabi Commercial Bank,0,success,20-12-2016,DAMAC HILLS 2,0,0,Madinat Hind 4,100
Dubai Development Authority,ACTIVE,Emaar Properties (P.S.C.),buildings,Benghatti Skyblade,30-11-2027,Dubai Islamic Bank (Public Joint Stock Company),1,effective,01-02-2025,DownTown Dubai,621,0,Burj Khalifa,6
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Cappadocia,15-08-2013,First Abu Dhabi Bank PJSC,1,success,01-09-2008,Jumeirah Village Circle,65,0,Al Barsha South Fourth,100
Dubai Development Authority,ACTIVE,Dubai Sports City (LLC),buildings,Sports from Danube,30-03-2026,Arab United Bank,2,effective,01-06-2024,Dubai Sports City,1110,0,Al Hebiah Fourth,33
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,The Vine Residences,25-11-2026,Abu Dhabi Commercial Bank,1,effective,15-05-2024,Jumeirah Village Triangle,263,0,Al Barsha South Fifth,37
Licenses,NOT_STARTED,Al Farjan (LLC),villas,Tory by IGO,30-04-2027,First Abu Dhabi Bank PJSC,0,under construction,01-08-2025,Al Furjan,0,15,Jabal Ali First,0
Dubai Development Authority,FINISHED,Dubai Properties (LLC),buildings,Sundus Rosa,31-12-2010,Dubai Islamic Bank (Public Joint Stock Company),1,success,10-12-2008,Dubai Land Residence Complex,0,0,Wadi Al Safa 5,100
Licenses,PENDING,Nakheel Company (P.S.C.),buildings,No crystal,30-09-2028,Sharjah Islamic Bank,1,Under registration,01-10-2025,Palm Deira,64,0,Palm Deira,0
